tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;ID;n_utp_budidaya;n_utp_pembibitan;n_utp_budidaya_dan_pembibitan;n_utp_jumlah;n_utp_budidaya_jumlah;n_utp_pembibitan_jumlah;n_utp
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310070] NITA;53;5310;5310070;14391495;68;0;0;68;68;0;68
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310071] MAGEPANDA;53;5310;5310071;7675372;278;0;0;278;278;0;278
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310080] ALOK;53;5310;5310080;6715898;294;0;0;294;294;0;294
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310081] ALOK BARAT;53;5310;5310081;3837634;148;1;0;149;148;1;149
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310082] ALOK TIMUR;53;5310;5310082;10553411;175;0;0;175;175;0;175
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310] SIKKA;53;5310;5310999;186129987;2009;2;1;2012;2010;3;2012
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310010] PAGA;53;5310;5310010;6885529;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310011] MEGO;53;5310;5310011;5901726;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310012] TANA WAWO;53;5310;5310012;4917995;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310020] LELA;53;5310;5310020;4426110;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310030] BOLA;53;5310;5310030;3934252;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310031] DORENG;53;5310;5310031;4429525;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310032] MAPITARA;53;5310;5310032;1968850;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310040] TALIBURA;53;5310;5310040;9844010;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2141_2143;[5310041] WAIGETE;53;5310;5310041;5414035;0;0;0;0;0;0;0
