tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;populasi_ternak_besar_jantan_anak_diusahakan_rtup;populasi_ternak_besar_jantan_muda_diusahakan_rtup;populasi_ternak_besar_jantan_dewasa_diusahakan_rtup;jml_ternak_besar_jantan_diusahakan_rtup;populasi_ternak_besar_betina_anak_diusahakan_rtup;populasi_ternak_besar_betina_muda_diusahakan_rtup;populasi_ternak_besar_betina_dewasa_2sd8thn_diusahakan_rtup;populasi_ternak_besar_betina_dewasa_more8thn_diusahakan_rtup;jml_ternak_besar_betina_diusahakan_rtup;jumlah;populasi_ternak_besar_diusahakan_rtup_pada_1Mei2023
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310010] PAGA;53;5310;5310010;16;67;76;159;19;79;252;62;412;571;571
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310011] MEGO;53;5310;5310011;102;65;87;254;71;124;384;98;677;931;931
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310012] TANA WAWO;53;5310;5310012;28;48;39;115;48;68;397;39;552;667;667
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310020] LELA;53;5310;5310020;12;30;23;65;22;38;91;39;190;255;255
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310030] BOLA;53;5310;5310030;27;30;50;107;40;45;187;54;326;433;433
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310031] DORENG;53;5310;5310031;34;25;39;98;26;61;180;48;315;413;413
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310032] MAPITARA;53;5310;5310032;39;31;41;111;40;53;96;81;270;381;381
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310040] TALIBURA;53;5310;5310040;175;225;203;603;130;303;768;314;1515;2118;2118
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310041] WAIGETE;53;5310;5310041;65;117;146;328;74;190;392;120;776;1104;1104
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310042] WAIBLAMA;53;5310;5310042;34;56;45;135;24;45;120;25;214;349;349
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310050] KEWAPANTE;53;5310;5310050;47;31;28;106;38;46;178;75;337;443;443
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310051] HEWOKLOANG;53;5310;5310051;12;7;7;26;6;6;22;12;46;72;72
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310052] KANGAE;53;5310;5310052;60;84;55;199;41;86;278;113;518;717;717
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310062] KOTING;53;5310;5310062;0;0;7;7;0;6;10;0;16;23;23
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310063] NELLE;53;5310;5310063;6;2;8;16;2;3;21;11;37;53;53
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310070] NITA;53;5310;5310070;9;9;17;35;5;12;38;9;64;99;99
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310071] MAGEPANDA;53;5310;5310071;60;75;53;188;65;121;508;132;826;1014;1014
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310080] ALOK;53;5310;5310080;3;0;4;7;4;2;21;2;29;36;36
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310081] ALOK BARAT;53;5310;5310081;39;81;94;214;54;108;381;117;660;874;874
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310082] ALOK TIMUR;53;5310;5310082;41;36;38;115;26;36;133;54;249;364;364
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310] SIKKA;53;5310;5310999;809;1019;1060;2888;735;1432;4457;1405;8029;10917;10917
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0;0;0
