"id_prov";"id_kab";"id_gol_luas_lahan";"id_kec";"prov";"kab";"kec";"gol_luas_lahan";"n_rtup_gol_luas_lahan_st2023"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"5000-9999";"538"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"10000-19999";"284"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"20000-29999";"50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310051] HEWOKLOANG";"53";"5310";"5310051";">=30000";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310052] KANGAE";"53";"5310";"5310052";"<1000";"778"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310052] KANGAE";"53";"5310";"5310052";"1000-1999";"524"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310052] KANGAE";"53";"5310";"5310052";"2000-4999";"952"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310052] KANGAE";"53";"5310";"5310052";"5000-9999";"684"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310052] KANGAE";"53";"5310";"5310052";"10000-19999";"316"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310052] KANGAE";"53";"5310";"5310052";"20000-29999";"49"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310052] KANGAE";"53";"5310";"5310052";">=30000";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310061] PALUE";"53";"5310";"5310061";"<1000";"701"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310061] PALUE";"53";"5310";"5310061";"1000-1999";"524"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310061] PALUE";"53";"5310";"5310061";"2000-4999";"444"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310061] PALUE";"53";"5310";"5310061";"5000-9999";"149"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310061] PALUE";"53";"5310";"5310061";"10000-19999";"40"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310061] PALUE";"53";"5310";"5310061";"20000-29999";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310061] PALUE";"53";"5310";"5310061";">=30000";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310062] KOTING";"53";"5310";"5310062";"<1000";"269"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310062] KOTING";"53";"5310";"5310062";"1000-1999";"248"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310062] KOTING";"53";"5310";"5310062";"2000-4999";"403"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310062] KOTING";"53";"5310";"5310062";"5000-9999";"240"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310062] KOTING";"53";"5310";"5310062";"10000-19999";"101"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310062] KOTING";"53";"5310";"5310062";"20000-29999";"18"
