"id_prov";"id_kab";"id_kategori_subsektor";"id_kec";"prov";"kab";"kec";"kategori_subsektor";"n_rtup_subsektor_st2023"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Kehutanan";"899"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Jasa Pertanian";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310052] KANGAE";"53";"5310";"5310052";"Pertanian";"3312"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310052] KANGAE";"53";"5310";"5310052";"Tanaman Pangan";"2211"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310052] KANGAE";"53";"5310";"5310052";"Padi";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310052] KANGAE";"53";"5310";"5310052";"Palawija";"2207"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310052] KANGAE";"53";"5310";"5310052";"Hortikultura";"1033"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310052] KANGAE";"53";"5310";"5310052";"Perkebunan";"2000"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310052] KANGAE";"53";"5310";"5310052";"Peternakan";"2722"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310052] KANGAE";"53";"5310";"5310052";"Perikanan";"67"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310052] KANGAE";"53";"5310";"5310052";"Budidaya Ikan";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310052] KANGAE";"53";"5310";"5310052";"Penangkapan Ikan";"67"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310052] KANGAE";"53";"5310";"5310052";"Kehutanan";"660"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310052] KANGAE";"53";"5310";"5310052";"Jasa Pertanian";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310061] PALUE";"53";"5310";"5310061";"Pertanian";"1869"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310061] PALUE";"53";"5310";"5310061";"Tanaman Pangan";"1804"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310061] PALUE";"53";"5310";"5310061";"Padi";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310061] PALUE";"53";"5310";"5310061";"Palawija";"1804"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310061] PALUE";"53";"5310";"5310061";"Hortikultura";"27"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310061] PALUE";"53";"5310";"5310061";"Perkebunan";"1387"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310061] PALUE";"53";"5310";"5310061";"Peternakan";"627"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310061] PALUE";"53";"5310";"5310061";"Perikanan";"168"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310061] PALUE";"53";"5310";"5310061";"Budidaya Ikan";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310061] PALUE";"53";"5310";"5310061";"Penangkapan Ikan";"168"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310061] PALUE";"53";"5310";"5310061";"Kehutanan";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310061] PALUE";"53";"5310";"5310061";"Jasa Pertanian";"0"
