"id_prov";"id_kab";"id_kategori_luas_lahan_tani";"id_kec";"prov";"kab";"kec";"kategori_luas_lahan_tani";"n_utp_kategori_luas_lahan_tani";"n_upb_kategori_luas_lahan_tani";"n_utl_kategori_luas_lahan_tani"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310040] TALIBURA";"53";"5310";"5310040";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310040] TALIBURA";"53";"5310";"5310040";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310041] WAIGETE";"53";"5310";"5310041";"Usaha Pertanian Tanpa Lahan Pertanian";"81.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310041] WAIGETE";"53";"5310";"5310041";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"4885.00";"2.00";"2.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310041] WAIGETE";"53";"5310";"5310041";"< 1";"4380.00";"0.00";"1.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310041] WAIGETE";"53";"5310";"5310041";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310041] WAIGETE";"53";"5310";"5310041";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310041] WAIGETE";"53";"5310";"5310041";"1-1,99";"421.00";"2.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310041] WAIGETE";"53";"5310";"5310041";"2-4,99";"78.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310041] WAIGETE";"53";"5310";"5310041";"5-9,99";"6.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310041] WAIGETE";"53";"5310";"5310041";"10-19,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310041] WAIGETE";"53";"5310";"5310041";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310041] WAIGETE";"53";"5310";"5310041";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310041] WAIGETE";"53";"5310";"5310041";"100-199";"0.00";"0.00";"1.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310041] WAIGETE";"53";"5310";"5310041";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Usaha Pertanian Tanpa Lahan Pertanian";"5.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"1675.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310042] WAIBLAMA";"53";"5310";"5310042";"< 1";"1009.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310042] WAIBLAMA";"53";"5310";"5310042";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310042] WAIBLAMA";"53";"5310";"5310042";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1-1,99";"532.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310042] WAIBLAMA";"53";"5310";"5310042";"2-4,99";"126.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310042] WAIBLAMA";"53";"5310";"5310042";"5-9,99";"6.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310042] WAIBLAMA";"53";"5310";"5310042";"10-19,99";"1.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310042] WAIBLAMA";"53";"5310";"5310042";"20-49,99";"1.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310042] WAIBLAMA";"53";"5310";"5310042";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310042] WAIBLAMA";"53";"5310";"5310042";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310042] WAIBLAMA";"53";"5310";"5310042";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Usaha Pertanian Tanpa Lahan Pertanian";"112.00";"0.00";"0.00"
