tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;jenis_produksi;satuan_produksi;ID;sum_jumlah_tanaman_belum_menghasilkan;sum_jumlah_tanaman_menghasilkan;sum_jumlah_tanaman_tidak_menghasilkan;sum_produksi_volume;sum_produksi_nilai
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310051] HEWOKLOANG;53;5310;5310051;5;1;36196185;13;74;1;2599.92;15920
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310052] KANGAE;53;5310;5310052;5;1;65164458;35;183;1;12667.6;60690
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310062] KOTING;53;5310;5310062;5;1;50651806;8;138;2;2794;11813
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310063] NELLE;53;5310;5310063;5;1;36196186;4;121;0;5037;22509
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310070] NITA;53;5310;5310070;5;1;65164899;14;208;2;99527;584404
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310071] MAGEPANDA;53;5310;5310071;5;1;57917923;16;275;2;12142;45578
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310080] ALOK;53;5310;5310080;5;1;50690032;9;451;1;29662.7;144938
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310081] ALOK BARAT;53;5310;5310081;5;1;28968432;12;185;17;7657;55588
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310082] ALOK TIMUR;53;5310;5310082;5;1;72449577;19;330;0;25454.4;86420
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2133_2139;[5310] SIKKA;53;5310;5310999;5;1;897813486;209;4232;53;257101.22;1262227
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2146_2148;[5310010] PAGA;53;5310;5310010;6;1;7052787;0;5;0;3;50
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2146_2148;[5310020] LELA;53;5310;5310020;6;1;14106171;5;14;6;14;97
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2146_2148;[5310030] BOLA;53;5310;5310030;6;1;35262450;86;481;0;955.2;504341
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2146_2148;[5310031] DORENG;53;5310;5310031;6;1;21159207;0;110;0;407;1415
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2146_2148;[5310040] TALIBURA;53;5310;5310040;6;1;63478031;4009;20624;175;40088.26;209665
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2146_2148;[5310041] WAIGETE;53;5310;5310041;6;1;56425167;404;1878;112;2549;12372
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2146_2148;[5310042] WAIBLAMA;53;5310;5310042;6;1;21157317;118;714;5;275;1365
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2146_2148;[5310050] KEWAPANTE;53;5310;5310050;6;1;35265646;20;675;1;1372;5341
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2146_2148;[5310051] HEWOKLOANG;53;5310;5310051;6;1;35262494;2;2362;0;3643.4;17145
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2146_2148;[5310052] KANGAE;53;5310;5310052;6;1;42318562;173;141;0;215.58;953
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2146_2148;[5310062] KOTING;53;5310;5310062;6;1;28211944;422;388;0;308.2;1924
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2146_2148;[5310063] NELLE;53;5310;5310063;6;1;14105959;0;74;0;155;900
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2146_2148;[5310070] NITA;53;5310;5310070;6;1;63475854;146;1507;0;1759;11222
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2146_2148;[5310080] ALOK;53;5310;5310080;6;1;7052953;20;50;0;155;900
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2146_2148;[5310082] ALOK TIMUR;53;5310;5310082;6;1;14106061;31;206;0;196.84;2198
