tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_utp_selain_ternak_besar_tujuan_pengembangbiakan;n_utp_selain_ternak_besar_tujuan_penggemukan;n_utp_selain_ternak_besar_tujuan_pembibitan;n_utp_selain_ternak_besar_tujuan_pembesaran;n_utp_selain_ternak_besar_tujuan_produksi;jumlah;n_utp_usaha_selain_ternak_besar
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4301;[5310010] PAGA;53;5310;5310010;949;0;0;0;0;949;949
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4301;[5310011] MEGO;53;5310;5310011;1127;0;0;0;0;1127;1127
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4301;[5310012] TANA WAWO;53;5310;5310012;779;0;0;0;0;779;779
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4301;[5310020] LELA;53;5310;5310020;986;0;0;0;0;986;986
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4301;[5310030] BOLA;53;5310;5310030;1025;0;0;0;0;1025;1025
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4301;[5310031] DORENG;53;5310;5310031;1369;0;0;0;0;1369;1369
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4301;[5310032] MAPITARA;53;5310;5310032;354;0;0;0;0;354;354
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4301;[5310040] TALIBURA;53;5310;5310040;1904;0;0;0;0;1904;1904
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4301;[5310041] WAIGETE;53;5310;5310041;2556;0;0;0;0;2556;2556
BAB_6_tabel_6_15_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4301;[5310042] WAIBLAMA;53;5310;5310042;397;0;0;0;0;397;397
