tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_ruta_panen_sendiri;n_ruta_ijon;n_ruta_tebas;n_ruta_tdk_panen;n_ruta_blm_panen
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310051] HEWOKLOANG;53;5310;5310051;166;0;0;2;2
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310052] KANGAE;53;5310;5310052;792;0;0;13;10
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310061] PALUE;53;5310;5310061;1;0;0;0;0
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310062] KOTING;53;5310;5310062;20;0;0;1;3
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310063] NELLE;53;5310;5310063;31;0;0;2;1
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310070] NITA;53;5310;5310070;85;0;0;1;0
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310071] MAGEPANDA;53;5310;5310071;294;0;0;6;12
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310080] ALOK;53;5310;5310080;76;0;0;3;0
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310081] ALOK BARAT;53;5310;5310081;193;0;0;1;4
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310082] ALOK TIMUR;53;5310;5310082;224;0;0;1;5
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310] SIKKA;53;5310;5310999;3904;1;2;89;116
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310010] PAGA;53;5310;5310010;8;0;0;3;10
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310011] MEGO;53;5310;5310011;28;0;0;0;109
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310012] TANA WAWO;53;5310;5310012;21;0;0;0;160
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310020] LELA;53;5310;5310020;2;0;0;0;5
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310030] BOLA;53;5310;5310030;174;3;0;264;407
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310031] DORENG;53;5310;5310031;204;31;0;572;785
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310032] MAPITARA;53;5310;5310032;9;0;0;23;194
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310040] TALIBURA;53;5310;5310040;3;0;0;0;14
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310041] WAIGETE;53;5310;5310041;209;0;0;21;281
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310042] WAIBLAMA;53;5310;5310042;9;0;0;0;15
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310050] KEWAPANTE;53;5310;5310050;33;0;0;40;37
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310051] HEWOKLOANG;53;5310;5310051;356;0;0;625;150
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310052] KANGAE;53;5310;5310052;45;0;0;20;39
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310061] PALUE;53;5310;5310061;1;0;0;0;5
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310062] KOTING;53;5310;5310062;5;0;0;0;1
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310063] NELLE;53;5310;5310063;0;0;0;0;1
BAB_5_tabel_5_48_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310070] NITA;53;5310;5310070;44;2;0;57;139
