tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_rtup;jumlah_tanaman_belum_menghasilkan;jumlah_tanaman_menghasilkan;jumlah_tanaman_tidak_menghasilkan;sum_produksi_volume;sum_produksi_nilai;produktivitas
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310082] ALOK TIMUR;53;5310;5310082;230;80;631;21;23092;114758;37
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310] SIKKA;53;5310;5310999;4110;2424;18679;709;484442;2524326;26
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310010] PAGA;53;5310;5310010;21;360;215;0;156;13315;1
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310011] MEGO;53;5310;5310011;137;2260;249;31;351;30980;1
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310012] TANA WAWO;53;5310;5310012;181;3658;329;59;636;43830;2
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310020] LELA;53;5310;5310020;7;43;12;0;68;8147;6
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310030] BOLA;53;5310;5310030;842;10213;8449;1389;6187;610408;1
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310031] DORENG;53;5310;5310031;1580;33680;18001;1638;4841;611816;0
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310032] MAPITARA;53;5310;5310032;226;4711;366;70;36;2880;0
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310040] TALIBURA;53;5310;5310040;17;313;62;10;427;63385;7
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310041] WAIGETE;53;5310;5310041;510;7263;3036;889;6763;734560;2
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310042] WAIBLAMA;53;5310;5310042;24;399;150;0;369;49025;2
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310050] KEWAPANTE;53;5310;5310050;110;1174;2173;36;1892;176724;1
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310051] HEWOKLOANG;53;5310;5310051;1122;9572;22682;816;9825;1955310;0
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310052] KANGAE;53;5310;5310052;104;1017;977;39;2209;208015;2
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310061] PALUE;53;5310;5310061;6;50;1;0;2;240;2
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310062] KOTING;53;5310;5310062;6;4;20;0;56;4760;3
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310063] NELLE;53;5310;5310063;1;10;0;0;0;0;-
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310070] NITA;53;5310;5310070;238;2925;1125;2;836;80675;1
BAB_5_tabel_5_42_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310071] MAGEPANDA;53;5310;5310071;-;-;-;-;-;-;-
