tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;persentase_rtup_seluruhnya_dijual;persentase_rtup_sebagian_besar_dijual;persentase_rtup_sebagian_besar_dikonsumsi;persentase_rtup_belum_dijual
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310081] ALOK BARAT;53;5310;5310081;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310082] ALOK TIMUR;53;5310;5310082;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310] SIKKA;53;5310;5310999;-;-;-;-
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310010] PAGA;53;5310;5310010;99.52;0.07;0.07;0.41
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310011] MEGO;53;5310;5310011;99.38;0.14;0.14;0.34
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310012] TANA WAWO;53;5310;5310012;99.49;0.08;0.17;0.25
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310020] LELA;53;5310;5310020;98.54;0.88;0.00;0.58
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310030] BOLA;53;5310;5310030;99.74;0.20;0.07;0.00
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310031] DORENG;53;5310;5310031;99.26;0.37;0.07;0.30
BAB_5_tabel_5_57_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310032] MAPITARA;53;5310;5310032;99.29;0.18;0.00;0.54
