"id_prov";"id_kab";"id_kategori_luas_lahan";"id_kec";"prov";"kab";"kec";"kategori_luas_lahan";"n_utp_kategori_luas_lahan";"n_upb_kategori_luas_lahan";"n_utl_kategori_luas_lahan"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310030] BOLA";"53";"5310";"5310030";"5-9,99";"1.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310030] BOLA";"53";"5310";"5310030";"Usaha Pertanian Tanpa Lahan Pertanian";"53.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310030] BOLA";"53";"5310";"5310030";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"2187.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310031] DORENG";"53";"5310";"5310031";"< 1";"1848.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310031] DORENG";"53";"5310";"5310031";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310031] DORENG";"53";"5310";"5310031";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310031] DORENG";"53";"5310";"5310031";"10-19,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310031] DORENG";"53";"5310";"5310031";"1-1,99";"334.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310031] DORENG";"53";"5310";"5310031";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310031] DORENG";"53";"5310";"5310031";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310031] DORENG";"53";"5310";"5310031";"2-4,99";"68.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310031] DORENG";"53";"5310";"5310031";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310031] DORENG";"53";"5310";"5310031";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310031] DORENG";"53";"5310";"5310031";"5-9,99";"9.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310031] DORENG";"53";"5310";"5310031";"Usaha Pertanian Tanpa Lahan Pertanian";"24.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310031] DORENG";"53";"5310";"5310031";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"2259.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310032] MAPITARA";"53";"5310";"5310032";"< 1";"1204.00";"0.00";"3.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310032] MAPITARA";"53";"5310";"5310032";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310032] MAPITARA";"53";"5310";"5310032";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310032] MAPITARA";"53";"5310";"5310032";"10-19,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310032] MAPITARA";"53";"5310";"5310032";"1-1,99";"165.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310032] MAPITARA";"53";"5310";"5310032";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310032] MAPITARA";"53";"5310";"5310032";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310032] MAPITARA";"53";"5310";"5310032";"2-4,99";"42.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310032] MAPITARA";"53";"5310";"5310032";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310032] MAPITARA";"53";"5310";"5310032";"50-99";"0.00";"0.00";"0.00"
