"id_prov";"id_kab";"id_kategori_subsektor";"id_kec";"prov";"kab";"kec";"kategori_subsektor";"n_utp_subsektor_st2023";"n_upb_subsektor_st2023";"n_utl_subsektor_st2023";"n_total_subsektor_st2023"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310041] WAIGETE";"53";"5310";"5310041";"Peternakan";"3324";"1";"1";"3326"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310041] WAIGETE";"53";"5310";"5310041";"Perikanan";"159";"0";"0";"159"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310041] WAIGETE";"53";"5310";"5310041";"Budidaya Ikan";"4";"0";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310041] WAIGETE";"53";"5310";"5310041";"Penangkapan Ikan";"155";"0";"0";"155"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310041] WAIGETE";"53";"5310";"5310041";"Kehutanan";"911";"0";"1";"912"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310041] WAIGETE";"53";"5310";"5310041";"Jasa Pertanian";"17";"0";"0";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Pertanian";"1680";"0";"0";"1680"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Tanaman Pangan";"1546";"0";"0";"1546"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Padi";"1543";"0";"0";"1543"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Palawija";"474";"0";"0";"474"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Hortikultura";"299";"0";"0";"299"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Perkebunan";"1590";"0";"0";"1590"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Peternakan";"811";"0";"0";"811"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Perikanan";"12";"0";"0";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Budidaya Ikan";"4";"0";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Penangkapan Ikan";"8";"0";"0";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Kehutanan";"556";"0";"0";"556"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Jasa Pertanian";"3";"0";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Pertanian";"2135";"0";"1";"2136"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Tanaman Pangan";"1195";"0";"0";"1195"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Padi";"99";"0";"0";"99"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Palawija";"1184";"0";"0";"1184"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Hortikultura";"1055";"0";"1";"1056"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Perkebunan";"1341";"0";"0";"1341"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Peternakan";"1523";"0";"0";"1523"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Perikanan";"79";"0";"0";"79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Budidaya Ikan";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Penangkapan Ikan";"79";"0";"0";"79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Kehutanan";"425";"0";"0";"425"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Jasa Pertanian";"8";"0";"0";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Pertanian";"1776";"0";"0";"1776"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Tanaman Pangan";"827";"0";"0";"827"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Padi";"134";"0";"0";"134"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Palawija";"819";"0";"0";"819"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Hortikultura";"1212";"0";"0";"1212"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Perkebunan";"1739";"0";"0";"1739"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Peternakan";"1397";"0";"0";"1397"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Perikanan";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Budidaya Ikan";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Penangkapan Ikan";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Kehutanan";"926";"0";"0";"926"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Jasa Pertanian";"6";"0";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310052] KANGAE";"53";"5310";"5310052";"Pertanian";"3462";"0";"0";"3462"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310052] KANGAE";"53";"5310";"5310052";"Tanaman Pangan";"2262";"0";"0";"2262"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310052] KANGAE";"53";"5310";"5310052";"Padi";"19";"0";"0";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310052] KANGAE";"53";"5310";"5310052";"Palawija";"2256";"0";"0";"2256"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310052] KANGAE";"53";"5310";"5310052";"Hortikultura";"1045";"0";"0";"1045"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310052] KANGAE";"53";"5310";"5310052";"Perkebunan";"2035";"0";"0";"2035"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310052] KANGAE";"53";"5310";"5310052";"Peternakan";"2807";"0";"0";"2807"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310052] KANGAE";"53";"5310";"5310052";"Perikanan";"67";"0";"0";"67"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310052] KANGAE";"53";"5310";"5310052";"Budidaya Ikan";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310052] KANGAE";"53";"5310";"5310052";"Penangkapan Ikan";"67";"0";"0";"67"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310052] KANGAE";"53";"5310";"5310052";"Kehutanan";"665";"0";"0";"665"
